"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Abbeville County, South Carolina",-164.89999999999998,-164.89999999999998,0.0,0.0,1.0,13492.0,"","","","","",3971.0
"Acadia Parish, Louisiana",-1780.1339766979218,-2475.779275715351,-647.0196076822176,-744.27099029292,0.0,34432.0,-275.4611667744466,-337.8136231416138,-62.35245636716449,-62.35245636716449,0.0,7885.0
"Accomack County, Virginia",-150.00421692430973,-263.1833808273077,-101.20895275194925,-125.14937507312425,0.0,18488.0,-45.04285714285714,-45.04285714285714,0.0,0.0,1.0,5339.0
"Ada County, Idaho",5591.460714285713,5591.460714285713,0.0,0.0,1.0,319232.0,2268.6642857142856,2268.6642857142856,0.0,0.0,1.0,88463.0
"Adair County, Iowa",-75.85357142857143,-75.85357142857143,0.0,0.0,1.0,4560.0,142.00827803649008,192.73794297873974,47.49531350735742,53.96401637300187,0.0,1624.0
"Adair County, Kentucky","","","","","",11587.0,"","","","","",2589.0
"Adair County, Missouri",206.37894311572018,245.38912411118508,39.010180995474,39.010180995474,0.0,12837.0,-315.9147023782134,-477.84327375888824,-151.09599219884694,-172.76115056896379,0.0,6919.0
"Adair County, Oklahoma",-232.61071428571424,-232.61071428571424,0.0,0.0,1.0,11226.0,47.467857142857135,47.467857142857135,0.0,0.0,1.0,2630.0
"Adams County, Colorado",4129.757142857143,4129.757142857143,0.0,0.0,1.0,318582.0,1673.935714285714,1673.935714285714,0.0,0.0,1.0,75668.0
"Adams County, Idaho",158.89752747253806,181.05961538461997,22.162087912087916,22.162087912087916,0.0,2963.0,23.160714285714285,23.160714285714285,0.0,0.0,1.0,883.0
"Adams County, Illinois",-734.6350840336527,-820.0867647059204,-85.45168067226807,-85.45168067226807,0.0,39062.0,252.4731092436923,280.2210084033577,27.747899159662747,27.747899159662747,0.0,12213.0
"Adams County, Indiana",557.4493669569492,809.8623436838388,234.68842919322196,270.137524216334,0.0,26002.0,-24.353943115711445,-38.971266968328564,-14.61732385261796,-14.61732385261796,0.0,4247.0
"Adams County, Iowa",-45.70714285714286,-45.70714285714286,0.0,0.0,1.0,2371.0,-10.083158440887928,-25.63574228528887,-14.055537589128107,-17.049630097935733,0.0,731.0
"Adams County, Mississippi",-161.40714285714287,-161.40714285714287,0.0,0.0,1.0,12489.0,"","","","","",5508.0
"Adams County, Nebraska",-174.1928571428571,-174.1928571428571,0.0,0.0,1.0,18211.0,-115.0634776987863,-136.2121525533439,-21.148674854557466,-21.148674854557466,0.0,5710.0
"Adams County, North Dakota",-71.6061247575999,-83.42916936005713,-11.823044602456491,-11.823044602456491,0.0,1500.0,12.258548804137718,13.492711700065229,1.2341628959276048,1.2341628959276048,0.0,418.0
"Adams County, Ohio",328.94851325143827,405.05064641239005,76.10213316095476,76.10213316095476,0.0,17450.0,-189.91881060117885,-220.51480284422723,-30.595992243051786,-30.595992243051786,0.0,3487.0
"Adams County, Pennsylvania",-142.23419596254826,-317.91061264276505,-159.0071105133975,-192.34572288345953,0.0,68373.0,143.7535714285714,143.7535714285714,0.0,0.0,1.0,14811.0
"Adams County, Washington",568.8855304419994,835.4347206056118,246.9503339544608,286.1480463736516,0.0,13089.0,36.135714285714286,36.135714285714286,0.0,0.0,1.0,1765.0
"Adams County, Wisconsin",92.50244020685932,117.88915643181099,25.386716224950796,25.386716224950796,0.0,12035.0,94.37142857142857,94.37142857142857,0.0,0.0,1.0,4659.0
"Addison County, Vermont","","","","","",22245.0,107.53571428571426,107.53571428571426,0.0,0.0,1.0,7011.0
"Adjuntas Municipio, Puerto Rico",-282.0035714285714,-282.0035714285714,0.0,0.0,1.0,7782.0,71.27499999999999,71.27499999999999,0.0,0.0,1.0,2268.0
"Aguada Municipio, Puerto Rico",-659.3892857142858,-659.3892857142858,0.0,0.0,1.0,19547.0,150.94642857142853,150.94642857142853,0.0,0.0,1.0,5110.0
"Aguadilla Municipio, Puerto Rico",-905.4285714285712,-905.4285714285712,0.0,0.0,1.0,23988.0,255.88928571428568,255.88928571428568,0.0,0.0,1.0,8526.0
"Aguas Buenas Municipio, Puerto Rico",-460.87500000000017,-460.87500000000017,0.0,0.0,1.0,10924.0,67.87857142857142,67.87857142857142,0.0,0.0,1.0,2792.0
"Aibonito Municipio, Puerto Rico",-364.3321428571429,-364.3321428571429,0.0,0.0,1.0,10157.0,126.6142857142857,126.6142857142857,0.0,0.0,1.0,3705.0
"Aiken County, South Carolina",793.7499999999999,793.7499999999999,0.0,0.0,1.0,102042.0,475.67499999999995,475.67499999999995,0.0,0.0,1.0,27399.0
"Aitkin County, Minnesota",-82.74642857142855,-82.74642857142855,0.0,0.0,1.0,9617.0,"","","","","",3103.0
"Alachua County, Florida",1643.35,1643.35,0.0,0.0,1.0,128721.0,888.0321428571426,888.0321428571426,0.0,0.0,1.0,80808.0
"Alamance County, North Carolina",1084.8964285714287,1084.8964285714287,0.0,0.0,1.0,98714.0,573.1249999999999,573.1249999999999,0.0,0.0,1.0,29215.0
"Alameda County, California",13292.710714285715,13292.710714285715,0.0,0.0,1.0,1011737.0,2768.1428571428564,2768.1428571428564,0.0,0.0,1.0,291376.0
"Alamosa County, Colorado",-309.6644539684057,-431.89145244285464,-114.15610857965657,-130.29788836866283,0.0,8893.0,-52.15189075631497,-69.51113445379451,-17.359243697479688,-17.359243697479688,0.0,2917.0
"Albany County, New York","","","","","",159163.0,722.5107142857144,722.5107142857144,0.0,0.0,1.0,75919.0
